path,country,kind,departure_state,has_departures_section,has_waitlist_section,book_cta_is_anchor,booking_links,has_price,price_min,word_count,has_product_schema,title_len,meta_desc_len
/portugal/nytaar-paa-algarvekysten,portugal,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,2255,1,66,164
/spanien/andalusien-til-saerpris,spanien,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,1894,1,59,165
/spanien/vandreferie-paa-caminoen,spanien,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,2115,1,59,156
/spanien/maleriske-mallorca,spanien,trip,D empty (Afgange ikke tilgængelige),1,0,1,0,0,,1735,1,55,165
/irland/musikfestival-i-dublin,irland,trip,A bookable online,1,1,1,1,1,9395,1941,1,67,171
/portugal/azorerne-den-groenne-oe-sao-miguel,portugal,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,1,14995,1984,1,57,170
/slovenien/ljubljana-og-de-slovenske-perler,slovenien,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,1809,1,59,169
/italien/charmerende-cinque-terre,italien,trip,A bookable online,1,1,1,2,1,12495,2414,1,53,171
/spanien/madrid-spaniens-hjerte,spanien,trip,A bookable online,1,1,1,4,1,8495,1980,1,61,172
/italien/rom-den-evige-stad,italien,trip,A bookable online,1,1,1,3,1,12995,3439,1,58,147
/graekenland/vandreferie-i-graekenland,graekenland,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,2959,1,55,166
/italien/andrea-bocelli-i-toscana,italien,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,1,11995,1663,1,66,172
/graekenland/smagen-af-kreta,graekenland,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,1,11995,1754,1,56,177
/tyrkiet/maegtige-istanbul,tyrkiet,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,1532,1,58,170
/indien/rajasthan-indiens-juvel,indien,trip,A bookable online,1,1,1,2,1,19995,5455,1,71,173
/spanien/fra-bilbao-til-toulouse,spanien,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,2244,1,67,152
/jul-og-nytaar/nytaars-rejser,jul-og-nytaar,editorial-thin,n/a — no departures section,0,0,0,0,1,9995,352,1,60,158
/marokko/rabat,marokko,editorial-city,n/a — no departures section,0,0,0,0,0,,2052,1,63,169
/naturrejser/solfoermoerkelsesrejser,naturrejser,editorial-thin,n/a — no departures section,0,0,0,0,0,,367,1,59,147
/polen/krakow,polen,editorial-city,n/a — no departures section,0,0,0,0,0,,2025,1,59,182
/spanien/madrid,spanien,editorial-city,n/a — no departures section,0,0,0,0,1,8495,1976,1,56,144
/naturrejser/haverejser,naturrejser,editorial-city,n/a — no departures section,0,0,0,0,1,10995,733,1,55,177
/musik-og-underholdning/koncert-rejser,musik-og-underholdning,editorial-thin,n/a — no departures section,0,0,0,0,1,9395,222,1,56,163
/portugal/algarve,portugal,editorial-city,n/a — no departures section,0,0,0,0,1,13995,2233,1,63,159
/portugal/tavira,portugal,editorial-city,n/a — no departures section,0,0,0,0,1,13995,2228,1,54,183
/marokko/marrakech,marokko,editorial-city,n/a — no departures section,0,0,0,0,1,11995,2000,1,59,155
/marokko/tanger,marokko,editorial-city,n/a — no departures section,0,0,0,0,0,,1920,1,56,188
/oestrig/salzburg,oestrig,editorial-city,n/a — no departures section,0,0,0,0,0,,2095,1,54,191
/portugal/porto,portugal,editorial-city,n/a — no departures section,0,0,0,0,1,10995,2630,1,64,197
/spanien/granada,spanien,editorial-city,n/a — no departures section,0,0,0,0,1,7495,2209,1,65,161
/portugal/azorerne,portugal,editorial-city,n/a — no departures section,0,0,0,0,1,14995,2293,1,60,168
/oestrig/wien,oestrig,editorial-city,n/a — no departures section,0,0,0,0,0,,1962,1,62,175
/italien/milano,italien,editorial-city,n/a — no departures section,0,0,0,0,0,,1763,0,55,160
/tjekkiet/prag,tjekkiet,editorial-city,n/a — no departures section,0,0,0,0,0,,1666,1,63,170
/oestrig/tyrol,oestrig,editorial-city,n/a — no departures section,0,0,0,0,0,,1904,1,56,162
/kina/beijing,kina,editorial-city,n/a — no departures section,0,0,0,0,1,17495,1675,1,58,123
/serbien/beograd,serbien,editorial-city,n/a — no departures section,0,0,0,0,0,,1769,1,58,177
/portugal/cascais,portugal,editorial-city,n/a — no departures section,0,0,0,0,1,7695,2204,1,59,171
/skotland/edinburgh,skotland,editorial-city,n/a — no departures section,0,0,0,0,1,14995,2400,1,61,181
/oestrig/innsbruck,oestrig,editorial-city,n/a — no departures section,0,0,0,0,0,,2011,1,61,191
/spanien/bilbao,spanien,editorial-city,n/a — no departures section,0,0,0,0,1,15995,1985,1,60,156
/england/chester,england,editorial-city,n/a — no departures section,0,0,0,0,0,,1562,0,56,170
/england/liverpool,england,editorial-city,n/a — no departures section,0,0,0,0,0,,1891,0,54,168
/portugal/lissabon,portugal,editorial-city,n/a — no departures section,0,0,0,0,1,7695,2511,1,57,186
/spanien/andalusien,spanien,editorial-city,n/a — no departures section,0,0,0,0,1,7495,2376,1,51,157
/spanien/caminoen,spanien,editorial-city,n/a — no departures section,0,0,0,0,0,,1861,1,56,172
/spanien/barcelona,spanien,editorial-city,n/a — no departures section,0,0,0,0,0,,2312,0,66,158
/spanien/granada/alhambra,spanien,editorial-thin,n/a — no departures section,0,0,0,0,1,7495,377,1,54,161
/bosnien/sarajevo,bosnien,editorial-city,n/a — no departures section,0,0,0,0,0,,2229,1,58,169
/litauen/vilnius,litauen,editorial-city,n/a — no departures section,0,0,0,0,0,,1721,1,56,167
/letland/riga,letland,editorial-city,n/a — no departures section,0,0,0,0,0,,1891,1,55,167
/portugal/madeira,portugal,editorial-city,n/a — no departures section,0,0,0,0,1,10995,2528,1,57,176
/naturrejser/blomsterrejser,naturrejser,editorial-city,n/a — no departures section,0,0,0,0,1,10995,847,1,55,151
/england/bath,england,editorial-city,n/a — no departures section,0,0,0,0,0,,1877,1,60,181
/england/cornwall,england,editorial-city,n/a — no departures section,0,0,0,0,0,,1841,0,59,161
/portugal/portugal-langtidsferie,portugal,editorial-thin,n/a — no departures section,0,0,0,0,0,,130,0,53,139
/kroatien/trogir,kroatien,editorial-city,n/a — no departures section,0,0,0,0,0,,2022,1,65,159
/italien/ischia,italien,editorial-city,n/a — no departures section,0,0,0,0,0,,2259,0,57,186
/tyrkiet/istanbul,tyrkiet,editorial-city,n/a — no departures section,0,0,0,0,0,,2357,1,68,169
/italien/rom,italien,editorial-city,n/a — no departures section,0,0,0,0,1,11995,2187,1,66,170
/graekenland/athen,graekenland,editorial-city,n/a — no departures section,0,0,0,0,1,13795,2080,1,66,175
/graekenland/peloponnes,graekenland,editorial-city,n/a — no departures section,0,0,0,0,1,15095,2208,1,56,160
/italien/napoli,italien,editorial-city,n/a — no departures section,0,0,0,0,1,11995,2343,1,57,140
/italien/syditalien,italien,editorial-city,n/a — no departures section,0,0,0,0,1,8995,2625,1,61,176
/italien/gardasoeen,italien,editorial-city,n/a — no departures section,0,0,0,0,1,9995,2457,1,62,163
/italien/norditalien,italien,editorial-city,n/a — no departures section,0,0,0,0,1,9995,2337,1,65,184
/italien/verona,italien,editorial-city,n/a — no departures section,0,0,0,0,1,10495,1992,1,54,171
/italien/venedig,italien,editorial-city,n/a — no departures section,0,0,0,0,1,9995,2240,1,59,154
/italien/sicilien,italien,editorial-city,n/a — no departures section,0,0,0,0,1,15495,2410,1,57,171
/italien/ravello,italien,editorial-city,n/a — no departures section,0,0,0,0,1,10995,2247,1,58,149
/frankrig/normandiet,frankrig,editorial-city,n/a — no departures section,0,0,0,0,1,16995,2062,1,64,181
/frankrig/provence,frankrig,editorial-city,n/a — no departures section,0,0,0,0,1,17995,1986,1,62,168
/frankrig/saint-tropez,frankrig,editorial-city,n/a — no departures section,0,0,0,0,1,13495,1943,1,63,180
/frankrig/seinen,frankrig,editorial-city,n/a — no departures section,0,0,0,0,1,7995,2037,1,57,179
/italien/sorrento,italien,editorial-city,n/a — no departures section,0,0,0,0,0,,2102,0,53,176
/frankrig/strasbourg,frankrig,editorial-city,n/a — no departures section,0,0,0,0,0,,1767,1,57,161
/italien/stresa,italien,editorial-city,n/a — no departures section,0,0,0,0,1,11995,2275,1,63,154
/italien/toscana,italien,editorial-city,n/a — no departures section,0,0,0,0,1,9995,2019,1,63,168
/italien/umbrien,italien,editorial-city,n/a — no departures section,0,0,0,0,0,,2036,0,61,175
/irland/kilkenny,irland,editorial-city,n/a — no departures section,0,0,0,0,1,15995,1858,1,62,161
/italien/lago-maggiore,italien,editorial-city,n/a — no departures section,0,0,0,0,1,20495,2513,1,56,182
/italien/pompeji,italien,editorial-city,n/a — no departures section,0,0,0,0,1,10995,2191,1,60,165
/italien/piemonte,italien,editorial-city,n/a — no departures section,0,0,0,0,1,11995,2083,1,66,182
